시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
강원도 강릉시 견소동,202,202,0,송정한신,39.08,202103,11,"10,900",3,1997,경강로2539번길 8,
강원도 강릉시 견소동,202,202,0,송정한신,59.8,202103,12,"14,000",1,1997,경강로2539번길 8,
강원도 강릉시 견소동,202,202,0,송정한신,84.945,202103,12,"18,300",15,1997,경강로2539번길 8,
강원도 강릉시 견소동,202,202,0,송정한신,39.08,202103,13,"10,450",9,1997,경강로2539번길 8,
강원도 강릉시 견소동,202,202,0,송정한신,43.38,202103,15,"11,000",3,1997,경강로2539번길 8,
강원도 강릉시 견소동,202,202,0,송정한신,39.08,202103,17,"10,500",3,1997,경강로2539번길 8,
강원도 강릉시 견소동,202,202,0,송정한신,59.8,202103,21,"13,900",7,1997,경강로2539번길 8,
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202103,1,"27,300",13,2005,경강로2539번길 22,
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202103,18,"25,500",6,2005,경강로2539번길 22,20210319
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202103,18,"25,500",6,2005,경강로2539번길 22,
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202103,18,"26,000",6,2005,경강로2539번길 22,
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202103,19,"19,800",13,2005,경강로2539번길 22,
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202103,20,"28,000",10,2005,경강로2539번길 22,
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202103,22,"28,500",7,2005,경강로2539번길 22,
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1008,202103,6,"42,500",3,2009,화부산로99번길 12,
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,202103,13,"52,800",3,2009,화부산로99번길 12,
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,202103,20,"37,500",6,2009,화부산로111번길 24,
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202103,4,"18,000",11,1999,가작로 78,
